SECID,SHORTNAME,ISIN,LISTLEVEL,SECNAME,BOARDID,status,TRADEDATE
ABIO,iАРТГЕН ао,RU000A0JNAB6,2.0,"ПАО ""Артген""",TQBR,active,
ABRD,АбрауДюрсо,RU000A0JS5T7,3.0,Абрау-Дюрсо ПАО ао,TQBR,active,
AFKS,Система ао,RU000A0DQZE3,1.0,"АФК ""Система"" ПАО ао",TQBR,active,
AFLT,Аэрофлот,RU0009062285,1.0,Аэрофлот-росс.авиалин(ПАО)ао,TQBR,active,
AGRO,AGRO-гдр,US7496552057,3.0,ГДР ROS AGRO PLC ORD SHS,TQBR,active,
AKRN,Акрон,RU0009028674,2.0,Акрон ПАО ао,TQBR,active,
ALRS,АЛРОСА ао,RU0007252813,1.0,АЛРОСА ПАО ао,TQBR,active,
AMEZ,АшинскийМЗ,RU000A0B88G6,3.0,Ашинский метзавод ПАО ао,TQBR,active,
APRI,АПРИ,RU000A108LJ5,3.0,АПРИ,TQBR,active,
APTK,Аптеки36и6,RU0008081765,2.0,"ПАО ""Аптечная сеть 36,6"" ао",TQBR,active,
AQUA,ИНАРКТИКА,RU000A0JQTS3,1.0,ПАО ИНАРКТИКА,TQBR,active,
ARSA,Арсагера,RU000A0JP0Q7,3.0,УК Арсагера ПАО-ао,TQBR,active,
ASSB,АстрЭнСб,RU000A0D8MM8,3.0,"""Астраханская ЭСК"" ПАО",TQBR,active,
ASTR,Астра ао,RU000A106T36,1.0,Группа Астра ао,TQBR,active,
AVAN,Авангрд-ао,RU000A0DM7B3,3.0,"АКБ ""АВАНГАРД"" ПАО ао",TQBR,active,
BANE,Башнефт ао,RU0007976957,3.0,Башнефть АНК ао,TQBR,active,
BANEP,Башнефт ап,RU0007976965,3.0,Башнефть АНК ап,TQBR,active,
BELU,НоваБев ао,RU000A0HL5M1,1.0,НоваБев Групп ПАО ао,TQBR,active,
BISVP,БашИнСв ап,RU0009100176,3.0,Башинформсвязь(ПАО) ап,TQBR,active,
BLNG,Белон ао,RU000A0J2QG8,3.0,Белон ОАО ао,TQBR,active,
BRZL,БурЗолото,RU0009288658,3.0,Бурятзолото ПАО ао,TQBR,active,
BSPB,БСП ао,RU0009100945,1.0,"ПАО ""Банк ""Санкт-Петербург"" ао",TQBR,active,
BSPBP,БСП ап,RU000A0JP0U9,3.0,Банк Санкт-Петербург ап,TQBR,active,
CARM,СТГ,RU000A105NV2,3.0,СТГ ао,TQBR,active,
CBOM,МКБ ао,RU000A0JUG31,1.0,"""МКБ"" ПАО ао",TQBR,active,
CHGZ,РН-ЗапСиб,RU0009082291,3.0,РН-Западная Сибирь ПАО ао,TQBR,active,
CHKZ,ЧКПЗ ао,RU000A0JNST0,3.0,"""ЧКПЗ"" ПАО ао",TQBR,active,
CHMF,СевСт-ао,RU0009046510,1.0,Северсталь (ПАО)ао,TQBR,active,
CHMK,ЧМК ао,RU0007665170,3.0,"""ЧМК"" ПАО ао",TQBR,active,
