SECID,SHORTNAME,SECNAME,ISIN,PREVPRICE,LOTSIZE,FACEVALUE,FACEUNIT,PREVDATE
KLVZ,Кристалл,Алкогольная Группа Кристалл,RU000A107KX0,3.79,100,0.01,SUR,2025-04-04
KMAZ,КАМАЗ,КАМАЗ ПАО,RU0008959580,107.0,10,50.0,SUR,2025-04-04
KMEZ,КМЗ,Ковровский механический завод,RU0006753613,1196.0,1,250.0,SUR,2025-04-04
KOGK,КоршГОК ао,Коршуновский ГОК ПАО ао,RU0002155359,39000.0,1,1.0,SUR,2025-04-04
KRKN,СаратНПЗ,Саратовский НПЗ ПАО ао,RU0009100408,9450.0,1,1.0,SUR,2025-04-04
KRKNP,СаратНПЗ-п,Саратовский НПЗ ПАО ап,RU0009100416,7800.0,1,1.0,SUR,2025-04-04
KRKOP,ТКЗКК ап,ТКЗ Красный котельщик ПАО ап,RU0009098131,13.62,100,1.0,SUR,2025-04-04
KROT,КрасОкт-ао,"""КрасныйОктябрь"" ПАО - ао",RU0008913850,1545.0,10,1.0,SUR,2025-04-04
KROTP,КрасОкт-1п,КрасныйОктябрь-1п,RU0008913868,479.0,10,1.0,SUR,2025-04-04
KRSB,Красэсб ао,Красноярскэнергосбыт ао,RU000A0HMLY1,15.5,100,0.02,SUR,2025-04-04
KRSBP,Красэсб ап,Красноярскэнергосбыт ап,RU000A0HMLZ8,15.98,100,0.02,SUR,2025-04-04
KUZB,КузнецкийБ,"Банк ""Кузнецкий"" ПАО ао",RU000A0JSQ66,0.035,10000,0.01,SUR,2025-04-04
KZOS,ОргСинт ао,"ПАО ""Органический синтез"" ао",RU0009089825,79.2,10,1.0,SUR,2025-04-04
KZOSP,ОргСинт ап,"ПАО ""Органический синтез"" ап",RU0006753456,20.36,10,1.0,SUR,2025-04-04
LEAS,Европлан,ПАО «ЛК «Европлан»,RU000A0ZZFS9,659.7,1,1.0,SUR,2025-04-04
LENT,Лента ао,Лента МКПАО ао,RU000A102S15,1476.5,1,0.0912632,SUR,2025-04-04
LIFE,Фармсинтез,Фармсинтез ПАО ао,RU000A0JR514,3.655,100,5.0,SUR,2025-04-04
LKOH,ЛУКОЙЛ,НК ЛУКОЙЛ (ПАО) - ао,RU0009024277,6445.5,1,0.025,SUR,2025-04-04
LMBZ,Ламбумиз,Ламбумиз,RU000A108ZX6,543.0,1,0.025,SUR,2025-04-04
LNZL,Лензолото,"""Лензолото"" ПАО ао",RU000A0JP1N2,12930.0,1,1.0,SUR,2025-04-04
LNZLP,Лензол. ап,"""Лензолото"" ПАО ап",RU000A0JP1P7,1810.0,1,1.0,SUR,2025-04-04
LPSB,ЛЭСК ао,Липецкая энергосбыт.ком.ОАО ао,RU000A0D8MR7,63.0,100,0.22,SUR,2025-04-04
LSNG,РСетиЛЭ,Россети Ленэнерго ПАО-ао,RU0009034490,14.07,100,1.0,SUR,2025-04-04
LSNGP,РСетиЛЭ-п,Россети Ленэнерго ПАО-ап,RU0009092134,198.0,10,1.0,SUR,2025-04-04
LSRG,ЛСР ао,Группа ЛСР ПАО ао,RU000A0JPFP0,843.0,1,0.25,SUR,2025-04-04
LVHK,Левенгук,Левенгук ПАО ао,RU000A0JT7Y2,29.25,100,10.0,SUR,2025-04-04
MAGE,МагадЭн ао,"""Магаданэнерго"" ПАО ао",RU0006758919,3.13,100,1.0,SUR,2025-04-04
MAGEP,МагадЭн ап,"""Магаданэнерго"" ПАО ап",RU0006758893,2.36,100,1.0,SUR,2025-04-04
MAGN,ММК,"""Магнитогорск.мет.комб"" ПАО ао",RU0009084396,33.075,10,1.0,SUR,2025-04-04
MBNK,МТС Банк,МТС-Банк ао,RU000A0JRH43,1382.0,1,500.0,SUR,2025-04-04
MDMG,MDMG-ао,МКПАО «МД Медикал Груп»,RU000A108KL3,996.2,1,7.16872,SUR,2025-04-04
MFGS,Мегион-ао,"ао ""Славнефть-Мегионнефтегаз""",RU0009011126,361.0,10,25.0,SUR,2025-04-04
MFGSP,Мегион-ап,ап Мегионнефтегаз,RU0009011134,250.5,10,25.0,SUR,2025-04-04
MGKL,МГКЛ,МГКЛ ао,RU000A0JVJQ8,2.464,100,0.01,SUR,2025-04-04
MGNT,Магнит ао,"""Магнит"" ПАО ао",RU000A0JKQU8,4415.5,1,0.01,SUR,2025-04-04
MGNZ,СМЗ-ао,Соликамский магн.завод(ОАО)ао,RU0009100911,7440.0,1,0.25,SUR,2025-04-04
MGTS,МГТС-5ао,"ПАО ""МГТС"" ао (5 в)",RU0009036461,1185.0,1,40.0,SUR,2025-04-04
MGTSP,МГТС-4ап,"ПАО ""МГТС"" ап (4 в)",RU0009036479,846.0,1,40.0,SUR,2025-04-04
MISB,ТНСэнМарЭл,ТНС энерго Марий Эл ПАО ао,RU000A0D8K33,51.0,100,0.1,SUR,2025-04-04
MISBP,ТНСэМаЭл-п,ТНС энерго Марий Эл ПАО ап,RU000A0D8K41,46.5,100,0.1,SUR,2025-04-04
MOEX,МосБиржа,ПАО Московская Биржа,RU000A0JR4A1,194.9,10,1.0,SUR,2025-04-04
MRKC,РоссЦентр,"ПАО ""Россети Центр"" ао",RU000A0JPPL8,0.535,1000,0.1,SUR,2025-04-04
MRKK,Россети СК,Россети Сев. Кавказ ао,RU000A0JPPQ7,17.54,10,1.0,SUR,2025-04-04
MRKP,РСетиЦП ао,Россети Центр и Приволжье ао,RU000A0JPN96,0.3656,10000,0.1,SUR,2025-04-04
MRKS,РсетСиб ао,Россети Сибирь ао,RU000A0JPPF0,0.537,1000,0.1,SUR,2025-04-04
MRKU,Россети Ур,Россети Урал (ПАО) ао,RU000A0JPPT1,0.3686,10000,0.1,SUR,2025-04-04
MRKV,РсетВол ао,Россети Волга ао,RU000A0JPPN4,0.06835,10000,0.1,SUR,2025-04-04
MRKY,РоссЮг ао,Россети Юг  (ПАО) ао,RU000A0JPPG8,0.0725,10000,0.1,SUR,2025-04-04
MRKZ,РСетиСЗ ао,ПАО Россети Северо-Запад ао,RU000A0JPPB9,0.0582,10000,0.1,SUR,2025-04-04
MRSB,МордЭнСб,Мордовск.энергсбыт.комп.ПАО ао,RU000A0D9AJ7,0.736,10000,0.0136,SUR,2025-04-04
MSNG,+МосЭнерго,МосЭнерго акции обыкн.,RU0008958863,2.1235,1000,1.0,SUR,2025-04-04
MSRS,РСетиМР ао,ПАО Россети Моск.рег. ао,RU000A0ET7Y7,1.146,1000,0.5,SUR,2025-04-04
MSTT,Мостотрест,"ПАО ""МОСТОТРЕСТ"" ао",RU0009177331,129.2,10,0.14,SUR,2025-04-04
MTLR,Мечел ао,Мечел ПАО ао,RU000A0DKXV5,98.28,1,10.0,SUR,2025-04-04
MTLRP,Мечел ап,Мечел ПАО ап,RU000A0JPV70,100.5,10,10.0,SUR,2025-04-04
MTSS,МТС-ао,Мобильные ТелеСистемы ПАО ао,RU0007775219,209.05,10,0.1,SUR,2025-04-04
MVID,М.видео,"""М.видео"" ПАО ао",RU000A0JPGA0,110.05,1,10.0,SUR,2025-04-04
NAUK,iНПОНаука,НПО Наука ао,RU000A0JRPX9,526.0,10,0.2,SUR,2025-04-04
NFAZ,НЕФАЗ,НЕФАЗ ПАО ао,RU0009115604,359.0,10,1.0,SUR,2025-04-04
NKHP,НКХП ао,НКХП ПАО ао,RU000A0BLWD7,835.0,10,1.0,SUR,2025-04-04
NKNC,НКНХ ао,"""Нижнекамскнефтехим"" ПАО ао",RU0009100507,91.95,10,1.0,SUR,2025-04-04
NKNCP,НКНХ ап,"""Нижнекамскнефтехим"" ПАО ап",RU0006765096,71.14,10,1.0,SUR,2025-04-04
NKSH,Нижкамшина,Нижнекамскшина ПАО ао,RU0009100515,47.15,100,1.0,SUR,2025-04-04
NLMK,НЛМК ао,"ПАО ""НЛМК"" ао",RU0009046452,129.28,10,1.0,SUR,2025-04-04
NMTP,НМТП ао,НМТП (ПАО) ао,RU0009084446,9.175,100,0.01,SUR,2025-04-04
NNSB,ТНСэнНН ао,ТНС энерго Нижний Новг.ПАО ао,RU000A0ET5A1,3570.0,1,11.88,SUR,2025-04-04
NNSBP,ТНСэнНН ап,ТНС энерго Нижний Новг.ПАО ап,RU000A0ET5B9,1222.0,1,11.88,SUR,2025-04-04
NSVZ,iНаукаСвяз,Наука-Связь ПАО ао,RU000A0JQLB6,332.5,10,1.0,SUR,2025-04-04
NVTK,Новатэк ао,"ПАО ""НОВАТЭК"" ао",RU000A0DKVS5,1145.4,1,0.1,SUR,2025-04-04
OGKB,ОГК-2 ао,ОГК-2 ПАО ао,RU000A0JNG55,0.3378,1000,0.3627,SUR,2025-04-04
OKEY,OKEY-гдр,ГДР OKEY Group S.A. ORD SHS,US6708662019,30.39,10,0.0,USD,2025-04-04
OMZZP,ОМЗ-ап,"ап""Объединён.  маш. заводы""",RU0009090559,12620.0,1,0.1,SUR,2025-04-04
OZON,OZON-адр,АДР Ozon Holdings PLC ORD SHS,US69269L1044,3486.5,1,0.0,USD,2025-04-04
OZPH,iОзонФарм,Озон Фармацевтика,RU000A109B25,51.08,10,0.02,SUR,2025-04-04
PAZA,ПавлАвт ао,Павловский автобус ПАО ао,RU0009083240,12260.0,1,415.0,SUR,2025-04-04
PHOR,ФосАгро ао,ФосАгро ПАО ао,RU000A0JRKT8,5827.0,1,2.5,SUR,2025-04-04
PIKK,ПИК ао,ПИК СЗ (ПАО) ао,RU000A0JP7J7,493.8,1,62.5,SUR,2025-04-04
PLZL,Полюс,Полюс ПАО ао,RU000A0JNAA8,1741.2,1,0.1,SUR,2025-04-04
PMSB,ПермьЭнСб,"""Пермэнергосбыт"" ПАО ао",RU000A0ET123,240.3,10,3.25,SUR,2025-04-04
PMSBP,ПермьЭнС-п,"""Пермэнергосбыт"" ПАО ап",RU000A0ET156,252.6,10,3.25,SUR,2025-04-04
POSI,iПозитив,Группа Позитив ао,RU000A103X66,1254.2,1,0.5,SUR,2025-04-04
PRFN,ЧЗПСН ао,ЧЗПСН-Профнастил (ПАО) ао,RU000A0JNXF9,4.358,100,0.1,SUR,2025-04-04
PRMB,Приморье,"АКБ ""Приморье"" ао",RU000A0DPNQ5,31200.0,1,1000.0,SUR,2025-04-04
PRMD,ПРОМОМЕД,ПРОМОМЕД,RU000A108JF7,382.05,1,1.0,SUR,2025-04-04
QIWI,iNanduQPLC,NanduQ PLC,US74735M1080,165.8,1,0.0,USD,2025-04-04
RAGR,Русагро,Группа Русагро,RU000A0JQUZ6,141.5,1,2.5,SUR,2025-04-04
RASP,Распадская,ПАО Распадская ао,RU000A0B90N8,249.1,10,0.004,SUR,2025-04-04
RBCM,ГК РБК ао,ГК РБК ПАО ао,RU000A0JR6A6,12.95,100,0.00064,SUR,2025-04-04
RDRB,РДБанк ао,РоссийскийДорож Банк ПАО ао,RU000A0JU6Q7,150.0,10,124.0,SUR,2025-04-04
RENI,Ренессанс,Ренессанс Страхование ао,RU000A0ZZM04,113.0,10,9.88,SUR,2025-04-04
RGSS,РГС СК ао,Росгосстрах СК ПАО ао,RU0008010855,0.25,1000,0.03,SUR,2025-04-04
RKKE,ЭнергияРКК,РКК Энергия им.С.П.Королева ао,RU0009095939,27180.0,1,1000.0,SUR,2025-04-04
RNFT,РуссНфт ао,РуссНефть НК ПАО ао,RU000A0JSE60,131.0,1,0.5,SUR,2025-04-04
ROLO,Русолово,"""Русолово"" ПАО ао",RU000A0JU1B0,0.655,1000,0.1,SUR,2025-04-04
ROSN,Роснефть,ПАО НК Роснефть,RU000A0J2Q06,441.3,1,0.01,SUR,2025-04-04
ROST,РОСИНТЕРао,РОСИНТЕР РЕСТОРАНТС (ПАО),RU000A0JP922,124.0,10,169.7,SUR,2025-04-04
RTGZ,ГР Ростов,Газпром газорасп Р-н-Д ПАО ао,RU000A0JPG04,54600.0,1,2000.0,SUR,2025-04-04
RTKM,Ростел -ао,Ростелеком (ПАО) ао.,RU0008943394,59.37,10,0.0025,SUR,2025-04-04
RTKMP,Ростел -ап,Ростелеком (ПАО) ап.,RU0009046700,53.45,10,0.0025,SUR,2025-04-04
RTSB,ТНСэнРст,ТНС энерго Ростов. ПАО ао,RU000A0D8PB4,2.79,1000,0.02,SUR,2025-04-04
RTSBP,ТНСэнРст-п,ТНС энерго Ростов. ПАО ап,RU000A0D8PC2,1.264,1000,0.02,SUR,2025-04-04
RUAL,РУСАЛ ао,РУСАЛ ОК МКПАО ао,RU000A1025V3,34.17,10,0.656517,SUR,2025-04-04
RUSI,ИКРУСС-ИНВ,РУСС-ИНВЕСТ ИК ПАО ао,RU000A0JQ9W5,72.4,10,1.0,SUR,2025-04-04
RZSB,РязЭнСб,"""Рязанская энергосб.комп"" ПАО",RU000A0D9AF5,30.92,100,0.05,SUR,2025-04-04
SAGO,СамарЭн-ао,Самараэнерго (ПАО) - ао,RU0009098255,2.935,1000,0.25,SUR,2025-04-04
SAGOP,СамарЭн-ап,Самараэнерго (ПАО) - ап,RU0009084495,3.0,1000,0.01,SUR,2025-04-04
SARE,СаратЭн-ао,Саратовэнерго(ПАО)-ао,RU0009100754,0.45,10000,0.02,SUR,2025-04-04
SAREP,СаратЭн-ап,Саратовэнерго(ПАО)-ап,RU0009100762,0.249,10000,0.02113,SUR,2025-04-04
SBER,Сбербанк,Сбербанк России ПАО ао,RU0009029540,285.35,10,3.0,SUR,2025-04-04
SBERP,Сбербанк-п,Сбербанк России ПАО ап,RU0009029557,284.85,10,3.0,SUR,2025-04-04
SELG,Селигдар,"ПАО ""Селигдар""  ао",RU000A0JPR50,48.84,10,1.0,SUR,2025-04-04
SFIN,ЭсЭфАй ао,ЭсЭфАй ПАО ао,RU000A0JVW89,1351.8,1,0.67,SUR,2025-04-04
SGZH,Сегежа,Сегежа ао,RU000A102XG9,1.49,100,0.1,SUR,2025-04-04
SIBN,Газпрнефть,Газпром нефть ПАО ао,RU0009062467,543.45,1,0.0016,SUR,2025-04-04
SLEN,Сахэнер ао,"ПАО ""Сахалинэнерго"" ао",RU0009280465,3.27,100,10.0,SUR,2025-04-04
SMLT,Самолет ао,ГК Самолет ао,RU000A0ZZG02,1116.0,1,25.0,SUR,2025-04-04
SNGS,Сургнфгз,Сургутнефтегаз ПАО акции об.,RU0008926258,23.09,100,1.0,SUR,2025-04-04
SNGSP,Сургнфгз-п,Сургутнефтегаз ПАО ап,RU0009029524,52.91,10,1.0,SUR,2025-04-04
SOFL,iСофтлайн,Софтлайн ао,RU000A0ZZBC2,102.04,10,0.001499992500037,SUR,2025-04-04
SPBE,СПБ Биржа,СПБ Биржа ао,RU000A0JQ9P9,250.3,1,3.75,SUR,2025-04-04
STSB,СтаврЭнСб,Ставрополэнергосбыт ПАО ао,RU000A0ET1W4,3.86,1000,0.0048,SUR,2025-04-04
STSBP,СтаврЭнСбп,Ставрополэнергосбыт ПАО ап,RU000A0ET1Z7,4.34,1000,0.0048,SUR,2025-04-04
SVAV,СОЛЛЕРС,"ПАО ""СОЛЛЕРС""",RU0006914488,672.5,1,12.5,SUR,2025-04-04
SVCB,Совкомбанк,Совкомбанк ао,RU000A0ZZAC4,15.455,100,0.1,SUR,2025-04-04
SVET,Светофор,Светофор Групп ао,RU000A100592,16.35,1,1.0,SUR,2025-04-04
SVETP,Светофор п,Светофор Групп ап,RU000A1005A9,22.3,1,1.0,SUR,2025-04-04
T,Т-Техно ао,Т-Технологии МКПАО ао,RU000A107UL4,3040.0,1,3.639384,SUR,2025-04-04
TASB,ТамбЭнСб,"ао""Тамбов.энергсбыт.комп.""ПАО",RU000A0D8NG8,1.37,1000,0.02,SUR,2025-04-04
TASBP,ТамбЭнСб-п,"ап""Тамбов.энергсбыт.комп.""ПАО",RU000A0D8NH6,0.87,10000,0.02,SUR,2025-04-04
TATN,Татнфт 3ао,"ПАО ""Татнефть"" ао",RU0009033591,618.2,1,1.0,SUR,2025-04-04
TATNP,Татнфт 3ап,"ПАО ""Татнефть"" ап 3 вып.",RU0006944147,598.8,1,1.0,SUR,2025-04-04
TGKA,ТГК-1,"ао ПАО ""ТГК-1""",RU000A0JNUD0,0.006726,100000,0.01,SUR,2025-04-04
TGKB,ТГК-2,"ао ПАО ""ТГК-2""",RU000A0JNGS7,0.006815,1000000,0.01,SUR,2025-04-04
TGKBP,ТГК-2 ап,"ап ПАО ""ТГК-2""",RU000A0JNGT5,0.01032,100000,0.01,SUR,2025-04-04
TGKN,ТГК-14,"ао ПАО ""ТГК-14""",RU000A0H1ES3,0.0077,100000,0.001,SUR,2025-04-04
TNSE,ТНСэнрг ао,"ПАО ГК ""ТНС энерго"" ао",RU000A0JUCQ5,2170.0,1,1.0,SUR,2025-04-04
TORS,РСТомск ао,"ао ПАО ""Россети Томск""",RU000A0ETZF2,0.602,10000,0.4916,SUR,2025-04-04
TORSP,РСТомск ап,"ап ПАО ""Россети Томск""",RU000A0ETZM8,0.449,10000,0.4916,SUR,2025-04-04
TRMK,ТМК ао,ПАО ТМК,RU000A0B6NK6,111.96,10,10.0,SUR,2025-04-04
TRNFP,Транснф ап,Транснефть ПАО акц.пр.,RU0009091573,1208.4,1,0.01,SUR,2025-04-04
TTLK,Таттел. ао,"""Таттелеком"" ПАО ао",RU000A0HM5C1,0.6905,1000,0.1,SUR,2025-04-04
TUZA,ТЗА ао,Туймаз. завод автобетоновозов,RU000A0HL7A2,185.5,10,10.0,SUR,2025-04-04
UGLD,ЮГК,ЮГК,RU000A0JPP37,0.6755,1000,0.001,SUR,2025-04-04
UKUZ,ЮжКузб. ао,Южный Кузбасс ПАО ао,RU0005294775,1080.0,1,0.04,SUR,2025-04-04
UNAC,iАвиастКао,Об.авиастр.корп. ПАО ао,RU000A0JPLZ7,0.58,1000,0.27,SUR,2025-04-04
UNKL,ЮУНК ао,Южно-Уральский никел. комб. ао,RU0004887991,5510.0,1,1.0,SUR,2025-04-04
UPRO,Юнипро ао,Юнипро ПАО ао,RU000A0JNGA5,1.727,1000,0.4,SUR,2025-04-04
